 Fatty acid	Both	Carbohydrate	RNA-seq	
CGN	LHFPL3	SNRK	TM4SF19	
ALCAM	SEMA3C	CTNNB1	ETV7	
BTNL8	AKAP9	RPL14	ENSMFAG00000036747	
TFDP2	CDK6	EIF1B	ENSMFAG00000050531	
XKR9	PDK4	WDR48	DALRD3	
UGT1A8	SLC25A13	GOLGA4	NLRP2	
LOC102127846	ICA1	TRANK1	ENSMFAG00000051986	
CREB3L3	LOC102127857	LIPH	ARL14	
MGRN1	HDAC9	MAP3K13	STBD1	
SLC7A7	TNS3	EHHADH	ENSMFAG00000063245	
TM4SF5	EGFR	KLHL24	ZNF653	
NR1I2	VOPP1	PIK3CA	ENSMFAG00000063972	
RPS6KA5	CHODL	TNFSF10	TAP1	
SLC43A2	LOC102146499	SLC2A2	SPINK1	
TNFSF10	CYYR1	RPL22L1	MOCS1	
ERBB3	N6AMT1	SI	ENSMFAG00000052969	
FBP1	SOD1	ARL14	FLVCR2	
SNX29	URB1	CCNL1	ENSMFAG00000064253	
ERBB2	PAXBP1	MME	SAP25	
LOC102144414	HLCS	ARHGEF26	TMEM82	
PDZK1	TTC3	TM4SF4	ENSMFAG00000060067	
NLRC5	BACE2	PLSCR1	CATSPERZ	
TRPM6	TFF3	PLS1	ENSMFAG00000049148	
PARP9	WDR4	XRN1	KLK15	
LOC102138874	CBS	TFDP2	ENSMFAG00000041729	
RIN2	PFKL	RBP2	ENSMFAG00000064862	
UBD	PCNT	CEP70	SEC14L4	
BLNK	TNRC18	PPP2R3A	COL9A2	
PAPSS2	ACTB	NEK11	GPT	
APOA4	BAIAP2L1	PIK3R4	SAC3D1	
RPS11	LOC102124421	SATB1	SRMS	
AHNAK	MCM7	RAB5A	HSD11B1	
HPGD	GIGYF1	KAT2B	SNX12	
ERAP2	CUX1	NR1D2	NOSIP	
PARP15	MLXIPL	TOP2B	ACHE	
LOC102131857	RFC2	LOC102142022	TNNT2	
KCNK5	GTF2IRD1	MB21D2	ENSMFAG00000036815	
NDRG1	AUTS2	UBXN7	ENSMFAG00000000878	
RIOK3	GUSB	MUC4	ENSMFAG00000045480	
UACA	FOXK1	RPL35A	ZNF446	
LOC102121606	NUDT1	HTR5A	PCP2	
RPS15	MAD1L1	NUB1	ENSMFAG00000031149	
SLC7A9	C3H7orf50	AOC1	ENSMFAG00000040972	
EZR	DNAAF5	LOC107126376	DMAP1	
ANKH	PRKAR1B	MGAM	ENSMFAG00000058652	
PPARGC1A	LOC123572751	MKRN1	BATF2	
ATP11B	PSMG4	KDM7A	ENSMFAG00000049803	
RPS14	SLC22A23	PARP12	ENSMFAG00000051428	
LOC102128179	FARS2	ZC3HAV1	MPND	
RPS6KA1	LOC102145051	MTPN	ENSMFAG00000003345	
CCDC68	GCNT2	UBE2H	ENSMFAG00000062059	
SLC7A8	DTNBP1	SLC26A3	ENSMFAG00000030042	
NCALD	DEK	HBP1	ENSMFAG00000056261	
ALPK1	TRIM27	KMT2E	EDN1	
MUC17	LOC102138874	DNAJC2	TYMP	
C6	LOC102116527	PMPCB	CTSW	
LOC101867207	LOC102141835	LOC102146398	UBD	
SLC3A1	DDX39B	SLC25A40	CACHD1	
MIA2	GPANK1	AKAP9	ENSMFAG00000063534	
GRAMD1B	C2	SAMD9	ENSMFAG00000057568	
ENPP7	LOC102144414	SAMD9L	PLA2G4F	
CYP4F2	RPS18	HEPACAM2	TMEM88	
SEC16B	LOC102124831	PDK4	ENSMFAG00000056708	
PEBP1	RPS10	AGR2	IFI27L2	
SOD1	RPL10A	AGR3	LRRC46	
LOC123570452	FKBP5	SP4	ENPP7	
RPS18	CCND3	HNRNPA2B1	ENSMFAG00000038479	
BTG1	SUPT3H	SCRN1	ISYNA1	
ANO6	SLC25A27	PSMA2	ENSMFAG00000062118	
MAOA	ADGRF5	TMED4	ATP6V1C2	
TJP1	MCM3	IKZF1	PADI2	
NCOR1	PRIM2	SOD1	ADH6	
GSDMB	LOC102145910	IL10RB	ENSMFAG00000035592	
FA2H	UBE3D	IFNGR2	BDH2	
AK3	MDN1	CRYZL1	SETD4	
PRKCZ	CASP8AP2	LOC123572205	DEPP1	
ENTPD5	MMS22L	TFF3	FCHSD1	
STAP2	PNISR	PDE9A	APOL4	
ZZEF1	MTHFD1L	SLX9	TRPV1	
LOC102126028	ECT2L	LOC102132121	GRB7	
MOCS1	ARFGEF3	TNRC18	PARP14	
PDLIM2	AHI1	ACTB	TNIP3	
SEC31A	MYB	EIF2AK1	CATSPER4	
YES1	RPS12	LMTK2	PLEKHN1	
CDHR5	LOC102139623	BAIAP2L1	ESYT3	
ACSM5	EPB41L2	ARPC1A	ENSMFAG00000051401	
SLC19A3	FAM184A	CYP3A5	ENSMFAG00000061653	
CLCA1	RWDD1	CYP3A4	CAPN3	
LOC102137780	AK9	ZKSCAN1	ASIC2	
LOC123568281	SMOC2	GIGYF1	ANTKMT	
TRIM31	WDR27	MOGAT3	DUSP15	
HERC6	FAM120B	STYXL1	USE1	
PFKFB4	ZNF595	LOC102134028	ENSMFAG00000030716	
ARHGAP18	PIGG	CLDN3	ENSMFAG00000003426	
LUZP1	ATP5ME	CLDN4	MLN	
FAM3D	LOC102127264	LOC102140528	ENSMFAG00000061953	
ABHD6	TACC3	CASTOR2	RFXANK	
GNA11	NSD2	FOXK1	ENSMFAG00000064811	
IRS2	NOP14	LOC123572751	ENSMFAG00000002482	
LGALS4	AFAP1	RIPK1	ENSMFAG00000039726	
CASP8	BOD1L1	LOC102145051	ENSMFAG00000048443	
PRR13	CD38	GCNT2	DEFB1	
RPL30	NCAPG	LOC102118590	ENSMFAG00000049853	
IGSF23	RPL9	HIVEP1	CTRL	
VIL1	ATP8A1	LOC102126390	MTMR7	
TMC5	PLAC8	RIPOR2	TRAPPC5	
PRAP1	HNRNPD	TRIM38	GDPD3	
LOC102132489	SULT1B1	LOC102124317	ENSMFAG00000061604	
RPS4X	CENPC	LOC102123651	ENSMFAG00000059697	
CDS1	SCFD2	LOC107129606	CIART	
LOC102124831	PKD2	LOC102138137	ENSMFAG00000065533	
ITPRID2	CENPE	LOC102138874	SCARF1	
PIK3C2G	RPL34	PPP1R10	ENSMFAG00000064224	
CASP5	ALPK1	LOC102116527	ENSMFAG00000064618	
RPL10	ZGRF1	LOC102141835	ZNF846	
RPS20	FABP2	LOC102123548	ENSMFAG00000065104	
PDK4	SPATA5	LOC102144414	ABHD1	
RPL13A	MAML3	PSMB8	CYP27A1	
LOC102122672	RPS3A	PSMB9	VWA3B	
SLC9A3R1	TMEM131L	LOC102136468	ENSMFAG00000047384	
MS4A18	DDX60L	RPS18	ENSMFAG00000050062	
LMO7	PALLD	LOC102124831	BCL2L14	
NEK10	TENM3	RPS10	ENSMFAG00000059105	
SGPL1	CENPU	RPL10A	CEL	
CASP10	CFAP97	STK38	ENSMFAG00000065249	
RPS28	SORBS2	KCNK5	TMIGD2	
PCK2	CEP72	MOCS1	ENSMFAG00000049118	
ACO2	LOC102134362	CCND3	GRIK5	
DDT	LOC101865550	UBR2	XAF1	
PPARG	TENT4A	KLC4	TBC1D10C	
HSD17B11	ADCY2	CLIC5	SLFNL1	
CRYBG1	LOC101865564	MEP1A	NUAK2	
NECTIN2	DROSHA	ADGRF5	ENSMFAG00000048780	
LOC102116898	PRLR	LOC102135933	ENSMFAG00000053259	
INAVA	CPLANE1	LOC102135299	TNFAIP8L1	
PTPRJ	NUP155	PAQR8	ENSMFAG00000046125	
RPS21	RPL37	LOC123572957	CYP4F57	
LOC102143300	ITGA2	LOC102146042	NKG7	
TAP1	GZMA	CILK1	ENSMFAG00000033657	
CREBRF	NLN	DST	ENSMFAG00000054347	
PCNX1	SSBP2	LMBRD1	ANKRD23	
TMEM236	RPS23	LOC102126517	UBXN8	
ALDH2	LOC102129733	PGM3	GLB1L3	
OGDH	FAM172A	PNRC1	ENSMFAG00000047882	
RPS16	SLF1	UFL1	FSD1	
SAT1	PAM	CRYBG1	DNHD1	
SEMA6A	PPIP5K2	RTN4IP1	ENSMFAG00000043232	
WDR27	SEMA6A	SCML4	OSR2	
MOGAT3	LMNB1	EZR	ENSMFAG00000055400	
MUC3A	LOC107130062	SYTL3	LRRC75B	
FBLIM1	SLC12A2	TIAM2	RPL39	
IFNGR1	FNIP1	CNKSR3	FBXO6	
ATP1A1	LOC102122672	ESR1	ENSMFAG00000057552	
SMAD3	IRF1	LOC123573009	PMFBP1	
IRF1	RAD50	SF3B5	ENSMFAG00000059358	
TMSB10	JADE2	VTA1	CD7	
BCO1	DDX46	ECT2L	ENSMFAG00000063350	
CDHR2	KDM3B	IFNGR1	FAM3D	
DPP4	LARS1	RPS12	SLC4A11	
BAIAP2L2	TCERG1	LOC102139623	ENSMFAG00000053687	
IL7	SPINK1	ARHGAP18	PHYKPL	
SEC14L2	HTR4	SERINC1	BST1	
PRKAG2	TCOF1	MAN1A1	ENSMFAG00000002155	
LOC102140855	RPS14	RWDD1	DHX58	
IFNGR2	ATP10B	FRK	ADAD2	
TMC4	RANBP17	CDK19	FAM151A	
MXD1	SH3PXD2B	AK9	EPS8L3	
ATXN1	SFXN1	SESN1	CASP5	
PARP4	RUFY1	OSTM1	TGM7	
LCT	SQSTM1	SFT2D1	MAGIX	
INPP5A	RACK1	RNASET2	RIN3	
IFITM1	TUBGCP5	ZNF595	BLVRB	
PDZD3	CYFIP1	ATP5ME	ENSMFAG00000061333	
ABLIM1	OCA2	GAK	IFI6	
SMIM24	GABRG3	FAM193A	ENSMFAG00000040261	
AK9	CDIN1	LRPAP1	RAPSN	
TKFC	EIF2AK4	WDR1	FBP1	
CD74	PHGR1	BOD1L1	ENSMFAG00000053245	
ZNFX1	KNL1	CD38	ENSMFAG00000060383	
PBLD	RAD51	LOC102122033	ENSMFAG00000029063	
OCLN	NUSAP1	ARAP2	KRT28	
CCND3	WDR76	RPL9	ENSMFAG00000062892	
RPS26	GOLM2	SMIM14	CEACAM20	
RPS3	CTDSPL2	TMEM33	JOSD2	
TBC1D22A	B2M	SLC30A9	LMNTD2	
CCDC186	SLC28A2	NIPAL1	DNAAF3	
C1QTNF12	DUT	OCIAD2	UBE2L6	
SLC5A12	CEP152	HELQ	ENSMFAG00000063935	
S100A6	TRPM7	PLAC8	PLPP2	
TMCC3	SPPL2A	SEC31A	RPE65	
MYL12B	MYO5C	RASGEF1B	ENSMFAG00000055702	
CDC14A	RAB27A	ANTXR2	ENSMFAG00000004033	
BAIAP2L1	TLN2	BMP2K	ENSMFAG00000060252	
CXADR	CA12	SCARB2	ENSMFAG00000029955	
GUCY2C	PCLAF	RASSF6	TSPOAP1	
IL18	RPL4	SULT1B1	KAZALD1	
RASSF6	SMAD6	UGT2A3	ENSMFAG00000055885	
RUNDC3B	RPLP1	LOC102127013	IYD	
CAPN13	THSD4	REST	ENSMFAG00000064139	
RMDN2	SIN3A	EXOC1	SMIM22	
SAMD9L	ARNT2	LNX1	TNNI2	
STK17B	RPS17	LRRC66	ENSMFAG00000051244	
TM6SF2	FANCI	HSD17B11	ATP2A1	
RPL18A	TICRR	ABCG2	ENSMFAG00000056177	
CASP7	LOC102115663	HERC6	TMEM220	
LOC102141648	ZNF710	HERC3	Metazoa_SRP	
LOC102142127	BLM	ADH5	ENSMFAG00000064133	
RPS23	MAN2A2	LOC102128179	IFIT3	
ABCG5	PRC1	CENPE	ENSMFAG00000004864	
RIN3	IGF1R	SGMS2	GPR17	
CDH17	LRRK1	RPL34	PIWIL4	
GRK5	PCSK6	MCUB	LCAT	
IQGAP2	NDRG2	ALPK1	ENSMFAG00000057385	
AFG3L2	SUPT16H	USP53	SRD5A1	
LOC102127857	HAUS4	FABP2	ENSMFAG00000025977	
FCGRT	LOC101867156	PDE5A	MAX	
SULT2A1	NOP9	RPS3A	ENSMFAG00000035616	
CCNL1	CIDEB	TRIM2	EDN2	
TSPAN8	NUBPL	TMEM144	ZNF462	
TMBIM6	MIPOL1	DDX60	ENSMFAG00000049923	
ACOX2	MIS18BP1	DDX60L	KLK1	
SGMS2	RPS29	NEK1	CHAT	
DDX60	POLE2	FBXO8	ENSMFAG00000053545	
FAU	WDHD1	HPGD	ENSMFAG00000051118	
SLC25A3	LGALS3	CASP3	ENSMFAG00000035415	
SLC35D2	SYNE2	PDCD6	ENSMFAG00000064803	
YPEL2	MTHFD1	EXOC3	PTPRR	
ARPC2	RAB15	NDUFS6	ENSMFAG00000063127	
LYST	FNTB	ZFR	SPATA17	
FCSK	RAD51B	RICTOR	ISG15	
EPCAM	LOC123574704	RPL37	ENSMFAG00000046114	
PLPP5	ACTN1	SELENOP	ENSMFAG00000058559	
TMEM87B	RBM25	GZMA	DNAH12	
RPLP0	ENTPD5	PLPP1	ENSMFAG00000065510	
RESF1	CEP128	ERBIN	ENSMFAG00000052314	
UGCG	FOXN3	MARVELD2	ENSMFAG00000058892	
BCO2	EFCAB11	OCLN	ENSMFAG00000057970	
RPS12	RPS6KA5	GTF2H2	ENSMFAG00000028750	
DHRS4	RIN3	BDP1	TRIM69	
WDR44	VRK1	CERT1	CTSV	
CFL1	BCL11B	JMY	ENSMFAG00000044889	
LOC102121945	EVL	SERINC5	H2AC19	
LOC102129733	TRAF3	RPS23	ENSMFAG00000065319	
ANKRD40CL	XRCC3	LOC102129733	PET100	
TNIK	ATP5MJ	CAST	ENSMFAG00000062221	
B3GNT3	BRF1	ERAP2	TM4SF20	
GRAMD2B	PACS2	APC	WDR27	
LOC123573009	MTA1	SRP19	ENSMFAG00000045656	
LAMA3	CRIP1	SEMA6A	ENSMFAG00000052447	
RPS5	LOC102128706	SNX2	ENSMFAG00000052511	
SLCO2B1	MCPH1	CEP120	ENSMFAG00000047974	
TMEM120A	DEFA6	GRAMD2B	NEURL3	
SUSD6	LOC102126703	MARCHF3	ENSMFAG00000039127	
PLSCR1	LOC102118641	FNIP1	ERICH4	
LOC102144280	TRMT9B	LOC102122672	TCP11L2	
ACOXL	PCM1	IRF1	ENSMFAG00000063521	
AMN	CDCA2	UBE2B	ENSMFAG00000059737	
TPT1	EIF4EBP1	SAR1B	ENSMFAG00000061206	
RPS27A	NSD3	BRD8	GOLGA7B	
CDKN2B	TACC1	KDM3B	ENSMFAG00000062374	
NFE2L1	IKBKB	TAF7	IGSF22	
AKR7A3	SPIDR	DIAPH1	ENSMFAG00000059270	
PDE9A	PRKDC	NDFIP1	SH2D2A	
WIPF2	MCM4	PRELID2	ENSMFAG00000053960	
LOC123574698	RPS20	SPINK1	SAPCD1	
BCL2L14	ASPH	ARHGEF37	ENSMFAG00000050875	
MARF1	CSPP1	CD74	ERVW-1	
PCSK5	RPL7	RPS14	DUSP23	
FTH1	IL7	DCTN4	ENSMFAG00000061365	
RPL34	LOC102137935	TNIP1	SLC19A3	
LRRC75A	RPL30	FAXDC2	THSD1	
RPL41	NIPAL2	SLU7	EFCAB8	
C19H19orf33	STK3	WWC1	H1-2	
FNIP1	GRHL2	DOCK2	APOBEC3H	
SWT1	NCALD	CREBRF	POLM	
GRAMD4	RIMS2	FAM193B	ENSMFAG00000049663	
SDCBP2	LOC102117305	PHYKPL	ENSMFAG00000032991	
LOC102141127	LOC102126203	RUFY1	HERC6	
PSMB9	SNTB1	SQSTM1	ENSMFAG00000062204	
LOC102118590	ZHX2	RACK1	DPYSL4	
SH3GL1	ATAD2	TJP1	ENSMFAG00000049906	
RPL27A	ANXA13	SRP14	NXNL2	
SLC27A2	LOC107130694	PHGR1	TSPO2	
LPIN2	TRAPPC9	PPP1R14D	COX7A1	
ESPN	LOC123575321	SPINT1	SAG	
SH2D3A	AGO2	VPS39	ENSMFAG00000030014	
RPL8	SLC45A4	TMEM87A	GZMA	
N4BP2L1	TSNARE1	GANC	GTSF1	
NLRP6	GLI4	CAPN3	ENSMFAG00000031279	
DEPDC7	EEF1D	TTBK2	CALB2	
LOC102143756	MROH1	LOC101864785	ENSMFAG00000056739	
PRELID2	HSF1	PATL2	ENSMFAG00000049540	
HLF	ADCK5	B2M	ENSMFAG00000049193	
S100A10	TONSL	SLC28A2	ENSMFAG00000053712	
NPAS2	ARHGAP39	SLC27A2	ENSMFAG00000002151	
RPL11	RPL8	GABPB1	ENSMFAG00000047295	
AP1M1	DIP2C	USP8	ENSMFAG00000046814	
AREL1	PFKFB3	SPPL2A	MIR192	
CIITA	SFMBT2	CCPG1	ENSMFAG00000064172	
VAV2	MCM10	LOC107130220	ENSMFAG00000047455	
ME2	NMT2	MYO1E	ENSMFAG00000061266	
AGR2	NSUN6	BNIP2	ENSMFAG00000058585	
LHFPL3	KIAA1217	ANXA2	ENSMFAG00000041448	
CYTH3	PRTFDC1	CLPX	ENSMFAG00000049937	
VWA3B	ZNF37A	DENND4A	ENSMFAG00000055330	
ZMIZ1	LRMDA	SMAD3	ENSMFAG00000056951	
RPL39	COMTD1	ANP32A	ENSMFAG00000048700	
PHYH	LRRC20	RPLP1	ENSMFAG00000052532	
LOC102116129	CCAR1	TLE3	ENSMFAG00000049458	
SPINT2	DNA2	HEXA	F12	
LOC107126975	ARID5B	PML	ENSMFAG00000051889	
DEPDC1B	CDK1	CYP1A1	RSAD2	
PTPRB	ANKRD22	TSPAN3	RETNLB	
PHEX	KIF20B	IREB2	ENSMFAG00000060253	
IYD	KIF11	CTSH	UCN3	
TRAK1	PLCE1	RPS17	ENSMFAG00000058650	
KLC4	NOC3L	AKAP13	IGSF23	
SYN3	HELLS	ABHD2	ENSMFAG00000058350	
MUC2	SLF2	LOC102115663	ENSMFAG00000054502	
GIPC2	LZTS2	SEMA4B	ATP8B3	
DPEP1	SFXN2	IQGAP1	ENSMFAG00000062923	
PPP6R1	PDCD11	RCCD1	ENSMFAG00000004008	
CYP2F1	ADD3	SLCO3A1	ENSMFAG00000049183	
UBA52	PDCD4	CHD2	ENSMFAG00000064186	
LOC123569447	TCF7L2	ASB7	TEX29	
RPS6KA6	NHLRC2	TARS3	ENSMFAG00000026088	
TNK2	HSPA12A	SUPT16H	ENSMFAG00000047957	
DAAM2	GRK5	SLC7A7	ENSMFAG00000064393	
FRK	INPP5F	SLC7A8	ENSMFAG00000051721	
SARS1	LOC102138082	LOC123574698	SPDYA	
LOC102120369	TACC2	IRF9	ENSMFAG00000057843	
BCAS3	HTRA1	DHRS1	ENSMFAG00000049069	
LOC123567238	DMBT1	CIDEB	DNPH1	
RXRA	CTBP2	LOC102131040	ENSMFAG00000062399	
PPP2CB	DOCK1	SEC23A	ENSMFAG00000039221	
GDA	MGMT	MIA2	IL12RB1	
LOC102135299	TUBGCP2	FBXO33	ENSMFAG00000058272	
FAXDC2	GINS1	KLHL28	ENSMFAG00000053105	
G6PC1	ABHD12	TOGARAM1	ENSMFAG00000060968	
LOC101865522	SLC24A3	RPS29	ENSMFAG00000049755	
KRT8	MGME1	RPL36AL	ENSMFAG00000035312	
UBR2	MACROD2	NEMF	ENSMFAG00000056730	
RETSAT	FERMT1	SOS2	ENSMFAG00000064780	
SEMA6D	MCM8	SAV1	ENSMFAG00000051585	
LOC101926364	NOP56	LGALS3	ENSMFAG00000053827	
LIPH	RBCK1	DLGAP5	ENSMFAG00000030711	
