Fatty acid	Both	Carbohydrate	RNA-seq	
WDR5			FYB1	
REXO4			PANX1	
SURF6			STK3	
B3GNTL1			UTP15	
FOXK2			ADGRL2	
CCDC57			ASAH2	
FASN			KYNU	
CENPX			ENSMFAG00000053688	
RPTOR			TNKS2	
LOC123569464			NCKAP1L	
TBC1D16			CPEB3	
USP36			FAM126A	
SRSF2			ZDHHC21	
UBE2O			TTC3	
TSEN54			PGAP1	
GGA3			STEAP4	
NUP85			PCNX4	
LOC107127852			ENSMFAG00000047890	
MAP2K6			MYH13	
PRKCA			ENSMFAG00000038066	
AXIN2			ADAMTS1	
DDX5			ENSMFAG00000055118	
TEX2			RTN4RL1	
ERN1			TMTC3	
BRCA1			RNF2	
LOC102125919			DDHD1	
LOC102122713			PADI4	
CDC6			ENSMFAG00000056547	
PPP1R1B			NLRC4	
KPNB1			GPR180	
OSBPL7			SNX30	
STXBP4			CD83	
MSI2			MAPK8	
CUEDC1			ENSMFAG00000039133	
RNF43			ENSMFAG00000036163	
TRIM37			ZBTB16	
SKA2			CLEC10A	
BRIP1			ENSMFAG00000063123	
MYO19			ENSMFAG00000060196	
ACACA			CLEC4A	
TADA2A			ADO	
TAF15			ALG11	
RHOT1			ADRB2	
ATAD5			PATJ	
SUZ12			SESN3	
NLK			ENSMFAG00000056175	
KIAA0100			TRAV29DV5	
FAM222B			TRIL	
NUFIP2			ZDBF2	
LOC102142918			E2F7	
SPECC1			SRPK2	
TOP3A			TGFBR2	
RAI1			ENSMFAG00000036627	
COPS3			ENSMFAG00000029556	
LOC102128226			CEP97	
LOC102132338			KLHL15	
USP43			CLEC2D	
PFAS			CARD9	
CHD3			MOGAT1	
NEURL4			PCDH12	
YBX2			FCGR1A	
LOC123569448			ENSMFAG00000001434	
UBE2G1			LMX1A	
RAP1GAP2			GRHL1	
CLUH			ENSMFAG00000055973	
RPA1			PRDM10	
SKA3			ENSMFAG00000048559	
XPO4			CLN8	
ZMYM2			AFAP1	
PSPC1			ENSMFAG00000000210	
SPATA13			ENSMFAG00000051499	
CENPJ			CLEC4E	
CDK8			ENSMFAG00000051810	
SLC7A1			RAB27B	
HSPH1			ENSMFAG00000042071	
BRCA2			SEC24D	
PDS5B			CD19	
STARD13			GAPDHS	
RFC3			TRERF1	
NBEA			ZC3H12C	
SUPT20H			LYVE1	
NAA16			CPB1	
DGKH			ENSMFAG00000039409	
NUFIP1			VRTN	
GTF2F2			STOX1	
LRCH1			GLI1	
RB1			GUCA2A	
FNDC3A			CHST2	
CAB39L			BRCA2	
SETDB2			GPR15	
KPNA3			MUSK	
TRIM13			NFIX	
LOC107127956			CASS4	
RNASEH2B			CHRNA5	
INTS6			SLC49A4	
DIAPH3			PDPN	
DACH1			LIPN	
PIBF1			STOX2	
TBC1D4			VANGL1	
RBM26			STXBP4	
GPR180			PHYHIP	
ABCC4			ARHGAP28	
DNAJC3			ENSMFAG00000050523	
IPO5			PRKCE	
DOCK9			NR4A3	
TMTC4			C1orf87	
TPP2			ABCA12	
ARGLU1			RFXAP	
ANKRD10			ZFP1	
TUBGCP3			PROX1	
CUL4A			HDAC4	
TFDP1			FGD5	
RBFA			ENSMFAG00000056902	
LOC102127209			NPAS3	
ZNF236			ANKS1A	
ZNF407			CLOCK	
RTTN			SLC9A7	
BCL2			PDE7B	
PHLPP1			IL6R	
ZCCHC2			SLC29A3	
TNFRSF11A			E2F8	
RELCH			CASR	
CCBE1			LRP4	
NEDD4L			SPRY4	
ATP8B1			BRWD3	
ONECUT2			TEK	
WDR7			MIER3	
DYM			ENSMFAG00000060701	
ZBTB7C			ACP3	
SMAD2			TRPA1	
PIAS2			CHGB	
LOC123569991			ENSMFAG00000065383	
KIAA1328			SLC2A13	
FHOD3			ENSMFAG00000056874	
RPRD1A			ANTXR1	
GALNT1			GFRA3	
GREB1L			SIRPB2	
USP14			RGCC	
THOC1			GPR174	
TYMS			SHANK2	
SMCHD1			ENSMFAG00000040641	
L3MBTL4			LCORL	
LAMA1			SLC10A2	
MTCL1			XKRX	
IMPA2			ENSMFAG00000060143	
CEP192			ENSMFAG00000048817	
LDLRAD4			ECM1	
SHC2			ADAMTS2	
PTBP1			ENSMFAG00000040610	
PWWP3A			NLRP7	
KLF16			COL1A2	
CSNK1G2			ITPRIPL2	
NFIC			ZNF302	
CHAF1A			SNX25	
UHRF1			CCNE2	
TIMM44			CCDC15	
LOC101865847			ENSMFAG00000033361	
LOC102134299			DYRK4	
DNMT1			EYA3	
ILF3			RGS10	
LDLR			VWF	
FARSA			MCHR1	
NFIX			ENSMFAG00000044940	
SAMD1			ARHGAP31	
LOC123570344			CCDC88A	
EPS15L1			ADGRF4	
COLGALT1			CRYM	
GDF15			CDH13	
SUGP2			BBS5	
LOC102129680			ADAT2	
LOC102116354			SLC7A11	
URI1			ENSMFAG00000065429	
LRP3			GMNC	
UBA2			ENSMFAG00000038664	
ZNF146			IL10	
SNRPA			ENSMFAG00000049519	
LOC102122395			SAMSN1	
TOMM40			C19orf38	
PPP1R37			FIGN	
PPP5C			KCNK10	
SAE1			HCK	
LIG1			ENSMFAG00000030389	
BAX			PPP3CA	
PRR12			UBXN7	
LOC102124147			ENSMFAG00000039567	
LOC107128271			CD68	
RHOT2			TSPAN12	
CHTF18			TNFRSF4	
NME3			ENSMFAG00000050473	
LOC102115347			NAIP	
RNPS1			ENSMFAG00000047290	
TRAP1			ENSMFAG00000065028	
DNAJA3			LAX1	
ANKS3			TXLNG	
UBN1			CDK6	
EMP2			DGAT2	
GSPT1			ENSMFAG00000062621	
MRTFB			SH3BP5	
PDXDC1			CERKL	
CDR2			IGSF1	
USP31			ENSMFAG00000062995	
TNRC6A			LRRK2	
ASPHD1			EAF2	
SEZ6L2			ENSMFAG00000062302	
MAZ			KIF21B	
FUS			ENSMFAG00000065090	
PHKB			QSOX1	
LONP2			KLRG1	
HEATR3			CRISPLD2	
TOX3			NAF1	
CHD9			DCUN1D3	
FTO			TEAD1	
NUP93			PDE1C	
GOT2			CGNL1	
CMTM4			IL1B	
TERB1			ZNF778	
CBFB			FCRL5	
FHOD1			ENSMFAG00000064065	
HSD11B2			ERC1	
NFATC3			ENSMFAG00000055612	
TANGO6			SNCAIP	
UTP4			ZKSCAN8	
SNTB2			ITGBL1	
LOC102119972			FAR1	
ZFHX3			DENND5B	
PKD1L3			ENSMFAG00000008798	
SF3B3			ENSMFAG00000054136	
RFWD3			IRAK2	
CFDP1			AMMECR1	
WWOX			GPR55	
CMC2			ENSMFAG00000058209	
ATP2C2			SELL	
USP10			IKZF3	
KLHDC4			ENSMFAG00000039605	
MVD			ENSMFAG00000048073	
PIEZO1			LRRC4	
ZNF276			ENSMFAG00000065058	
LOC107128397			ENSMFAG00000042190	
FANCA			TIFAB	
LOC102130612			FBXO25	
MID1				
FANCB				
CA5B				
TXLNG				
RBBP7				
NHS				
SCML2				
PHKA2				
PDHA1				
POLA1				
TSPAN7				
CASK				
JADE3				
MAGED1				
SMC1A				
HUWE1				
ARHGEF9				
OPHN1				
EDA				
PHKA1				
CHIC1				
LOC102139757				
SH3BGRL				
CHM				
DIAPH2				
SYTL4				
CENPI				
AMMECR1				
ENOX2				
LOC102128946				
MBNL3				
RBMX				
HAUS7				
DKC1				
BRCC3				
LOC123571573				
LOC102144674				
LOC101865018				
LOC102124695				
LOC102143612				
